Motorname,Motornummer,Motorfamilie,Stillstandsstrom,Spitzenstrom,Grenzdrehzahl,Motorpolzahl,Kt,L,R,J,Einsatzphi,Endwertphi,MTANG,MLGQ,MLGD,MLGC,MLGP,KC,KTN,PIDT2,GVFBT,GV,GVTN,FBtype,Respoles,Resphase,DICONT,Unenn,RedFaktor,Ipeak,MVANGLP
6SM27M4000,1,2,0.8,3.5,4000,6,0.41,21,31,0.08,2000,20,0,0.756,0.7,0.7,0.4,0.5,0.6,1,0.4,1.040650407,6,1,2,0,601,560,1,1.6,20
6SM27M4000,1,2,0.8,3.5,4000,6,0.41,21,31,0.08,2000,20,0,1.512,0.7,0.7,0.4,0.5,0.6,1,0.4,0.520325203,6,1,2,0,603,560,1,1.6,20
6SM27M4000,1,2,0.8,3.5,4000,6,0.41,21,31,0.08,3000,20,0,0.8,0.6,1,0.6,1,0.6,1,0.2,1,8,1,2,0,601,675,1,1.6,20
6SM27M4000,1,2,0.8,3.5,4000,6,0.41,21,31,0.08,3000,20,0,1.6,0.6,1,0.6,1,0.6,1,0.2,1,10,1,2,0,603,675,1,1.6,20
6SM37S6000,3,2,1,4,6000,6,0.5,32,36,0.45,3000,20,0,2,0.6,0.7,0.6,1,0.5,0.5,0.2,8,10,4,0,0,601,675,0.8,2,20
6SM37S6000,3,2,1,4,6000,6,0.5,32,36,0.45,3000,20,0,2,0.6,0.7,0.6,1,0.5,1,0.6,4,10,1,2,0,601,675,1,2,20
6SM37M6000,5,2,1.6,6.5,6000,6,0.62,21,12.8,0.7,3000,20,0,1,0.6,1,0.6,1,0.6,0.2,0.2,8,10,4,0,0,601,675,0.8,3,20
6SM37M6000,5,2,1.6,6.5,6000,6,0.62,21,12.8,0.7,3000,20,0,1.5,0.6,1,0.4,1,0.5,0.5,0.2,4,10,4,0,0,603,675,0.8,3.2,20
6SM37M6000,5,2,1.6,6.5,6000,6,0.62,21,12.8,0.7,3000,20,0,1,0.6,1,0.6,1,0.6,1,0.6,8,10,1,2,0,601,675,1,3,20
6SM37M6000,5,2,1.6,6.5,6000,6,0.62,21,12.8,0.7,3000,20,0,1.5,0.6,1,0.4,1,0.5,1,0.6,2,10,1,2,0,603,675,1,3.2,20
6SM37L4000,7,2,1.6,6.4,4000,6,0.96,30,15.5,1,2000,20,0,4.5,0.6,1,0.6,1,0.6,1,0.4,2,10,1,2,0,606,675,1,3.2,20
6SM37L4000,7,2,1.6,6.4,4000,6,0.96,30,15.5,1,2000,20,0,1.2,0.6,0.8,0.6,1,0.6,1,0.6,5,10,1,2,0,601,675,1,3,20
6SM37L4000,7,2,1.6,6.4,4000,6,0.96,30,15.5,1,2000,20,0,1.2,0.6,0.8,0.6,1,0.6,0.2,0.2,18,10,2,0,0,601,675,0.8,3,20
6SM37L4000,7,2,1.6,6.4,4000,6,0.96,30,15.5,1,2000,20,0,1.5,0.6,0.7,0.6,1,0.6,0.2,0.2,4,10,4,0,0,603,675,0.8,3.2,20
6SM37L4000,7,2,1.6,6.4,4000,6,0.96,30,15.5,1,2000,20,0,1.2,0.6,0.8,0.6,1,0.6,0.2,0.2,10,10,4,0,0,601,675,0.8,3,20
6SM37L4000,7,2,1.6,6.4,4000,6,0.96,30,15.5,1,2000,20,0,1.5,0.6,0.7,0.6,1,0.6,1,0.6,3,10,1,2,0,603,675,1,3.2,20
6SM47L3000,9,2,2.3,9,3000,6,1.33,25,11,1.6,1500,20,0,1,0.6,1,0.6,1,0.6,1,0.2,10,10,1,2,0,601,675,1,3,20
6SM47L3000,9,2,2.3,9,3000,6,1.33,25,11,1.6,1500,20,0,2.1,0.6,0.7,0.5,1,0.6,1,0.6,5,10,1,2,0,603,675,1,4.6,20
6SM47L3000,9,2,2.3,9,3000,6,1.33,25,11,1.6,1500,20,0,3.8,0.6,0.6,0.5,1,0.6,1,0.4,1.2,10,1,2,0,606,675,1,4.6,20
6SM47L3000,9,2,2.3,9,3000,6,1.33,25,11,1.6,1500,20,0,2.1,0.6,0.7,0.5,1,0.6,0.5,0.2,10,10,2,0,0,603,675,0.8,4.6,20
6SM47L3000,9,2,2.3,9,3000,6,1.33,25,11,1.6,1500,20,0,2.1,0.6,0.7,0.5,1,0.6,0.2,0.2,5,10,4,0,0,603,675,0.8,4.6,20
6SM47L3000,9,2,2.3,9,3000,6,1.33,25,11,1.6,1500,20,0,1,0.6,1,0.6,1,0.6,0.5,0.2,15,10,2,0,0,601,675,0.8,3,20
6SM57S3000,11,2,2.8,11,3000,6,1.65,35,6.3,3.1,1500,20,0,5,0.6,1,0.6,1,0.6,1,0.4,5,10,1,2,0,606,675,1,5.6,20
6SM57S3000,11,2,2.8,11,3000,6,1.65,35,6.3,3.1,1500,20,0,1.5,0.6,1,0.6,1,0.6,1,0.2,10,8,1,2,0,601,675,1,3,20
6SM57S3000,11,2,2.8,11,3000,6,1.65,35,6.3,3.1,1500,20,0,2.5,0.6,0.7,0.5,1,0.5,1,0.6,10,8,2,0,0,603,675,0.8,5.6,20
6SM57S3000,11,2,2.8,11,3000,6,1.65,35,6.3,3.1,1500,20,0,2.5,0.6,0.7,0.5,1,0.5,1,0.4,5,10,1,2,0,603,675,1,5.6,20
6SM57S3000,11,2,2.8,11,3000,6,1.65,35,6.3,3.1,1500,20,0,2.5,0.6,0.7,0.5,1,0.5,0.2,0.2,8,8,4,0,0,603,675,0.8,5.6,20
6SM57M3000,13,2,4.3,17,3000,6,1.85,24,3.9,4.5,1500,20,0,6,0.6,1,0.6,1,0.6,1,0.6,3,10,1,2,0,610,675,1,8.6,20
6SM57M3000,13,2,4.3,17,3000,6,1.85,24,3.9,4.5,1500,20,0,10,0.6,1,0.6,1,0.6,1,0.6,1.5,10,1,2,0,614,675,1,8.6,20
6SM57M3000,13,2,4.3,17,3000,6,1.85,24,3.9,4.5,1500,20,0,3,0.6,1,0.6,1,0.6,0.5,0.2,7,10,2,0,0,606,675,0.8,8.6,20
6SM57M3000,13,2,4.3,17,3000,6,1.85,24,3.9,4.5,1500,20,0,3,0.6,1,0.6,1,0.6,1,0.6,5,10,1,2,0,606,675,1,8.6,20
6SM57M3000,13,2,4.3,17,3000,6,1.85,24,3.9,4.5,1500,20,0,3,0.6,1,0.6,1,0.6,0.4,0.4,4,8,4,0,0,606,675,0.8,8.6,20
6SM57M3000,13,2,4.3,17,3000,6,1.85,24,3.9,4.5,1500,20,0,10,0.6,1,0.6,1,0.6,1,0.6,1.5,10,1,2,0,620,675,1,8.6,20
6SM77K3000,15,2,6,24,3000,6,1.85,18,2.2,12,1500,20,0,3,0.6,1,0.6,1,0.8,1,0.4,8,10,1,2,0,606,675,1,12,20
6SM77K3000,15,2,6,24,3000,6,1.85,18,2.2,12,1500,20,0,3,0.6,1,0.6,1,0.8,0.4,0.2,12,8,4,0,0,606,675,0.8,12,20
6SM77K3000,15,2,6,24,3000,6,1.85,18,2.2,12,1500,20,0,4.5,0.6,1,0.6,1,0.6,1,0.4,5,8,1,2,0,610,675,1,12,20
6SM77S3000,17,2,10,40,3000,6,1.7,8.3,1.1,18,1500,20,0,2,0.6,0.8,0.5,0.5,0.7,2,0.6,5,10,1,2,0,610,675,1,20,20
6SM77S3000,17,2,10,40,3000,6,1.7,8.3,1.1,18,1500,20,0,3,0.4,1,1,1,0.6,0.3,0.3,6,10,2,0,0,614,675,0.8,20,20
6SM77S3000,17,2,10,40,3000,6,1.7,8.3,1.1,18,1500,20,0,3,0.4,1,1,1,0.6,1.5,0.4,4,10,1,2,0,614,675,1,20,20
6SM77S3000,17,2,10,40,3000,6,1.7,8.3,1.1,18,1500,20,0,2,0.6,0.8,0.5,0.5,0.7,0.2,0.2,8,10,4,0,0,610,675,0.8,20,20
6SM77S3000,17,2,10,40,3000,6,1.7,8.3,1.1,18,1500,20,0,2,0.6,0.8,0.5,0.5,0.7,0.3,0.3,10,10,2,0,0,610,675,0.8,20,20
